Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,govcat_cons,govcat_rec,Vetted_address,GEOID,NAME,Race.estimate.total.x,B03002_001M,Race.white.alone.x,B03002_003M,Race.black.alone.x,B03002_004M,Race.native.alone.x,B03002_005M,Race.asian.alone.x,B03002_006M,Race.PI.alone.x,B03002_007M,Race.hispanicorlatino.x,B03002_012M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,Households.total.x,AC_PHONE_N,AC_EMAIL,Households.total.y,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.hispanicorlatino.y,Race.native.alone.y,Race.PI.alone.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3900810,JR SIMPLOT CO,NTNC,Private (other),1,300,1/7/19,NA,19-Jan,City of Lathrop,CA3910015,City,"TCR, Arsenic",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.275974,37.808651,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,26833,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,16777 S. Howland Rd. Lathrop CA 95330,060770051192,"Block Group 2, Census Tract 51.19, San Joaquin County, California",411,234,87,87,0,13,0,13,86,130,0,13,238,175,51563,24587,96,57,43,38,53,41,96,209-941-7454,mking@ci.lathrop.ca.us,5442.917444261464,NA,5267.68916446344,1154.2827769017676,21723.29465871918,9150.693961983234,11.26689607046555,114.00000000043316,5086.990925108695,5442.917444261464,4230.35388676233,1212.5635574991347
DISTRICT 11 - MERCED,MERCED,CA2400346,LIVINGSTON FARMERS ASSOCIATION WATER SYS,NTNC,Private (other),2,30,1/11/21,NA,21-Jan,City of livingston,CA2410004,City,ARSENIC,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.68941,37.4034798,Both,Changed system type to NTNC from NP and changed population from zero to 30 to match partnerships tool data compared to what was in the excel data,NA,No,No,2,Yes,GW,NA,GW,GW,14894,Community water system,1524.078599,1,NA,NA,Private ancillary,General purpose government,11019 W. EUCALYPTUS AVENUE LIVINGSTON CA 95334,060470003013,"Block Group 3, Census Tract 3.01, Merced County, California",3269,780,226,121,0,13,0,13,523,290,0,13,2480,765,56047,16719,748,155,383,108,365,123,748,209-394-8044,mabeloe@livingstoncity.com,2375.403038645255,NA,2063.01428325732,0,10017.498715032762,7283.292661131536,0.041944542411627886,0,630.2904690015803,2375.403038645255,1271.3457949018807,1104.0572437433743
District 11 - Merced,MERCED,CA2400176,ST. PAUL LUTHERAN DAY CARE,NTNC,School,1,50,6/19/17,NA,17-Jun,City of Merced,CA2410009,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.442966,37.312162,Both,System type in yearly excel listed as NP,NA,No,No,2,Yes,GW,NA,GW,GW,87110,Community water system,52.11119133,1,NA,NB - This filters out when we eliminate jursidictions.,Public ancillary,General purpose government,2916 N. MCKEE RD. MERCED CA 95340,060470012004,"Block Group 4, Census Tract 12, Merced County, California",1620,600,897,403,17,21,0,13,77,83,0,13,604,338,81875,37749,592,200,488,197,104,63,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA58 - NAPA COUNTY,NAPA,CA2800548,SILVERADO PINES MOBILE HOME,C,MHP,1,255,4/20/21,NA,21-Apr,City of Napa,CA2810003,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.27294,38.2890933,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,86906,Community water system,67.36698082,2,1,NA,Private ancillary,General purpose government,150 SILVERADO TRAIL NAPA CA 94558,060552003011,"Block Group 1, Census Tract 2003.01, Napa County, California",1938,490,1174,340,0,13,0,13,66,57,0,13,635,434,85744,13703,811,149,402,92,409,127,811,707-253-0822,EKEBBAS@CITYOFNAPA.ORG,31496.129638652757,NA,2385.286486291916,698.1169040444021,88112.74104459099,33816.41194516042,209.76723549995978,66.00000000004798,48057.653172096696,31496.129638652757,19066.52601045404,12429.603628198713
LPA58 - NAPA COUNTY,NAPA,CA2800538,CARNEROS INN,C,MWC,1,30,7/20/21,NA,21-Jul,City of Napa,CA2810003,City,Exceeded GW use allowed,NA,1,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet - https://www.napa.lafco.ca.gov/uploads/documents/10-7-19_6b_CarnerosOSA-Napa.pdf",NA,No,No,2,Yes,GW,NA,GW,SW,86906,Community water system,0,1,1,NA,Nonprofit private,General purpose government,4048 SONOMA HIGHWAY NAPA CA 94559,060552011021,"Block Group 1, Census Tract 2011.02, Napa County, California",1380,268,1145,254,14,32,70,97,110,56,0,13,38,40,119107,27663,515,95,389,99,126,54,515,707-253-0822,EKEBBAS@CITYOFNAPA.ORG,31496.129638652757,NA,2385.286486291916,698.1169040444021,88112.74104459099,33816.41194516042,209.76723549995978,66.00000000004798,48057.653172096696,31496.129638652757,19066.52601045404,12429.603628198713
LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,CA3601094,FUJI NATURAL FOOD,NTNC,Private (other),2,75,5/16/19,NA,19-May,City of Ontario,CA3610034,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-117.559378,34.009721,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,185010,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,13500 Hamner Ave. Ontario 91761,060710019063,"Block Group 3, Census Tract 19.06, San Bernardino County, California",4127,866,1052,418,266,198,0,13,810,277,0,13,1818,725,104736,24887,1277,214,1159,229,118,118,1277,909-395-2682,SBURTON@ontarioca.gov,49659.301643015024,NA,10575.210996261625,9276.54977387816,174847.73115933675,122600.82830850911,636.3395640985411,450.13114302279337,26903.051701269364,49659.301643015024,26935.058645309236,22724.24299770578
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000271,BUEHNER WATER SYSTEM-WEBER COMPLEX,C,Private (other),9,30,9/21/18,NA,18-Sep,City of Patterson,CA5010017,City,E. coli in source,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.1273218,37.4842802,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,23764,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,136 WEBER AVE PATTERSON CA 95363,060990032012,"Block Group 2, Census Tract 32.01, Stanislaus County, California",1814,479,84,65,0,13,0,13,0,13,0,13,1712,477,41446,4296,417,90,221,80,196,82,417,209-895-8065,MWILLETT@CI.PATTERSON.CA.US,2021.9986309250105,NA,169.26568222999765,160.46478078766052,7366.695569312554,5036.528697552262,0.8646074521871933,20.4578120856196,1856.6279525821371,2021.9986309250105,1353.0955361453612,668.903094779649
DISTRICT 18 - SONOMA,SONOMA,CA4901389,PG & E LAKEVILLE SUBSTATION,NTNC,Private (other),1,50,8/16/18,NA,18-Aug,City of Petaluma,CA4910006,City,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-122.580815,38.250365,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,64251,Community water system,752.7271502,2,NA,NA,Private ancillary,General purpose government,2455 Frates Road PETALUMA CA 94972,060971506111,"Block Group 1, Census Tract 1506.11, Sonoma County, California",848,167,751,150,0,13,0,13,69,66,0,13,27,34,127227,34213,333,69,310,66,23,35,333,707-776-3698,jmcintyre@ci.petaluma.ca.us,18875.10391931936,NA,1952.6291421321052,538.7509714829403,50076.92596134068,11672.358872170345,154.25645823749787,18.446903283363447,33193.20301564942,18875.10391931936,11677.10870828622,7197.9952110331415
District 09- Sacramento,EL DORADO,CA0910010,"PLACERVILLE, CITY OF - SIERRA GOLF & CC",C,City,264,320,6/20/17,NA,17-Jun,City of Placerville-Main,CA0910003,City,DBPs,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.802628,38.728678,Both,NA,NA,No,No,2,Yes,SWP,NA,SWP,SWP,10762,Community water system,NA,NA,NA,NA,Public ancillary,General purpose government,3101 Center Street PLACERVILLE CA 95667,060170312003,"Block Group 3, Census Tract 312, El Dorado County, California",1750,552,1226,439,25,25,0,13,26,27,0,13,421,298,62338,42856,427,115,282,136,145,80,427,530-642-5232,nstone@cityofplacerville.org,1854.9226925200949,120704327.57508253,65.37353679746683,62.629843014028935,4942.762289867345,953.4233454336705,18.68864421496982,0,3716.5747712436287,1854.9226925200949,1196.3797120136228,658.5429805064721
DISTRICT 24 - TULARE,TULARE,CA5403038,SPRINGVILLE WATER CO.,C,Private (other),5,50,1/15/20173,Jan.2018,17-Jan,City of Porterville,CA5410010,City,Single source in drought prone area,Sustainability,0,0,0,0,1,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-118.964641,36.054012,Both,Partnership tool lists issu as single source capacity,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,163.5205761,1,NA,NA,Private - type unknown,General purpose government,2393 E. SPRINGVILLE PORTERVILLE CA 93257,061070039024,"Block Group 4, Census Tract 39.02, Tulare County, California",251,103,174,89,0,13,0,13,0,13,0,13,77,59,20625,15370,118,47,43,29,75,42,118,559-782-7580,mknight@ci.porterville.ca.us,13061.628220519564,NA,1795.158961614344,136.86204588046624,43333.49557957765,30481.715778930004,440.6099898221274,163.12396261580685,9360.234706716315,13061.628220519564,6368.793298806307,6692.834921713255
DISTRICT 24 - TULARE,TULARE,CA5400600,GOLDEN KEY APARTMENTS,C,Private (other),16,48,3/21/17,NA,17-Mar,City of Porterville,CA5410010,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.0356383,36.0647783,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,10.68973497,2,NA,NA,Private ancillary,General purpose government,59 S. INDIANA STREET PORTERVILLE CA 93257,061070041031,"Block Group 1, Census Tract 41.03, Tulare County, California",1201,556,140,139,0,13,0,13,0,13,0,13,1061,548,56263,3813,289,127,184,99,105,65,289,559-782-7580,mknight@ci.porterville.ca.us,13061.628220519564,NA,1795.158961614344,136.86204588046624,43333.49557957765,30481.715778930004,440.6099898221274,163.12396261580685,9360.234706716315,13061.628220519564,6368.793298806307,6692.834921713255
DISTRICT 24 - TULARE,TULARE,CA5403202,SALLY TRACH WATER SYSTEM,C,Private (other),10,25,5/25/17,NA,17-May,City of Porterville,CA5410010,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.017809,36.068525,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,NA,NA,NA,NA,Private - type unknown,General purpose government,629 E Date Ave Porterville CA 93257,061070039041,"Block Group 1, Census Tract 39.04, Tulare County, California",1432,641,74,63,0,13,0,13,0,13,0,13,1358,644,18634,12731,369,121,171,65,198,117,369,559-782-7580,mknight@ci.porterville.ca.us,13061.628220519564,NA,1795.158961614344,136.86204588046624,43333.49557957765,30481.715778930004,440.6099898221274,163.12396261580685,9360.234706716315,13061.628220519564,6368.793298806307,6692.834921713255
DISTRICT 24 - TULARE,TULARE,CA5403149,RANCHO LOPEZ WATER SYSTEM,C,Private (other),11,50,12/31/17,NA,17-Dec,City of Porterville,CA5410010,City,"Periodic bacteriological issues, single source",Multiple,0,1,0,0,1,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-118.984521,36.059476,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,711.9473038,3,NA,NA,Private - type unknown,General purpose government,1465 E TYLER AVE LANE PORTERVILLE CA 93257,061070039022,"Block Group 2, Census Tract 39.02, Tulare County, California",1659,503,465,203,0,13,0,13,28,37,13,23,1128,511,21016,14141,464,96,209,73,255,86,464,559-782-7580,mknight@ci.porterville.ca.us,13061.628220519564,NA,1795.158961614344,136.86204588046624,43333.49557957765,30481.715778930004,440.6099898221274,163.12396261580685,9360.234706716315,13061.628220519564,6368.793298806307,6692.834921713255
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400198,CARA BAY APARTMENTS,C,Private (other),85,500,3/8/18,NA,18-Mar,City of Sacramento,CA3410020,City,tetrachloroethylene,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.4360967,38.5150817,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,510931,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,6125 Stockton Blvd. Sacramento CA 95824,060670032023,"Block Group 3, Census Tract 32.02, Sacramento County, California",1764,431,154,113,79,72,0,13,1025,313,0,13,506,317,23859,17442,633,132,151,72,482,118,633,916-808-8667,MSevereid@cityofsacramento.org,185965.1023107867,NA,94482.05451999373,64046.30168539057,498778.74717895273,141610.5816118094,1594.474925442973,8174.176715743555,159040.28888800435,185965.1023107867,91690.19365005768,94274.9086607289
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400352,ACORN MOBILE VILLAGE,C,MHP,56,100,10/18/19,NA,19-Oct,City of Sacramento Main,CA3410020,City,"PCE, monitoring",Multiple,0,1,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.4419157,38.5217128,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,510931,Community water system,47.72109866,3,1,NA,Private ancillary,General purpose government,5800 Stockton Blvd. Sacramento CA 95827,060670046032,"Block Group 2, Census Tract 46.03, Sacramento County, California",1551,607,343,150,118,183,0,13,667,619,0,13,382,191,39853,9310,616,170,124,86,492,185,616,916-808-8667,MSevereid@cityofsacramento.org,185965.1023107867,NA,94482.05451999373,64046.30168539057,498778.74717895273,141610.5816118094,1594.474925442973,8174.176715743555,159040.28888800435,185965.1023107867,91690.19365005768,94274.9086607289
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400468,SACRAMENTO SOFTBALL COMPLEX (SWS),NC,City,4,500,6/17/21,NA,21-Jun,CITY OF SACRAMENTO MAIN,CA3410020,City,NONE,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.386844,38.639041,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,510931,Community water system,0,1,1,NA,Public ancillary,General purpose government,3450 LONGVIEW DR SACRAMENTO CA 95821,060670074133,"Block Group 3, Census Tract 74.13, Sacramento County, California",1112,729,446,191,32,51,0,13,1,2,0,13,624,740,46453,35189,323,88,211,102,112,66,323,916-808-8667,MSevereid@cityofsacramento.org,185965.1023107867,NA,94482.05451999373,64046.30168539057,498778.74717895273,141610.5816118094,1594.474925442973,8174.176715743555,159040.28888800435,185965.1023107867,91690.19365005768,94274.9086607289
LPA70 - SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO,CA4000743,UPS - SAN LUIS OBISPO,NTNC,Private (other),1,35,10/20/17,NA,17-Oct,City of San Luis Obispo,CA4010009,City,Treated for Mercury,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.642514,35.249208,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,45920,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,3601 Sacramento Dr. San Luis Obispo CA 93401,060790115052,"Block Group 2, Census Tract 115.05, San Luis Obispo County, California",1886,335,1568,320,0,13,0,13,83,73,0,13,229,124,95722,11564,836,148,520,76,316,148,836,805-781-7237,mboerman@slocity.org,12895.722185148694,NA,1757.3860010524663,809.7105394066098,31852.666115357075,6082.788653526579,59.788686942243224,8.245431980948595,21894.312999535432,12895.722185148694,4422.315167170787,8473.407017977906
DISTRICT 06 - SANTA BARBARA,VENTURA,CA5601206,LIMONEIRA CO. - MCKEVETT,C,Private (other),9,36,2/1/17,NA,17-Feb,City of Santa Paula Water Dept.,CA5610011,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.0408133,34.362875,Both,NA,NA,No,No,2,Yes,GWP,NA,GWP,GW,29321,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,18249 East Telegraph Road SANTA PAULA CA 93060,061110006003,"Block Group 3, Census Tract 6, Ventura County, California",1738,537,21,33,18,22,0,13,0,13,0,13,1699,540,55417,32081,498,182,75,38,423,182,498,805-933-4212,csaunier@spcity.org,7742.80123104532,NA,102.4958108594713,35.22752151513582,27296.751409367713,23320.955675243258,22.828889291187213,0.4706499252728308,3427.1622793857337,7742.80123104532,3774.623126829127,3968.178104216191
DISTRICT 18 - SONOMA,SONOMA,CA4901439,CENTRO CHRISTIANO EVANGELISTICO,NTNC,Private (other),3,36,9/19/18,NA,18-Sep,City of Santa Rosa,CA4910009,City,Operating without a permit,NA,NA,NA,NA,NA,NA,private,Voluntary Consolidation,Physical,Voluntary,NA,-122.737424,38.428867,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,173648,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,1589 Hampton Way SANTA ROSA CA 95407,060971531042,"Block Group 2, Census Tract 1531.04, Sonoma County, California",512,165,184,87,12,20,0,13,5,12,0,13,311,161,48042,27683,211,76,165,65,46,53,211,707-543-3975,tllamas@srcity.org,65835.4428907483,NA,10101.579408945701,4119.218339462102,179814.19055896936,62483.926261565706,960.0449944762591,1006.4803923360058,94389.15562652619,65835.4428907483,35557.31616179486,30278.126728953463
DISTRICT 18 - SONOMA,SONOMA,CA4901410,STOP N SAVE,NC,Private (other),1,50,3/28/19,NA,19-Mar,City of Santa Rosa,CA4910009,City,"No Permit, single source capacity",Multiple,1,0,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.768644,38.420033,Both,No permit came from excel data for issue whereas partnership tool said single source capacity,NA,No,No,2,Yes,GW,NA,GW,GW,173648,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,1078 S Wright Rd. Santa Rosa 95407,060971533013,"Block Group 3, Census Tract 1533.01, Sonoma County, California",4424,737,1250,525,70,68,0,13,243,249,0,13,2493,740,107532,27102,1045,176,578,183,467,135,1045,707-543-3975,tllamas@srcity.org,65835.4428907483,NA,10101.579408945701,4119.218339462102,179814.19055896936,62483.926261565706,960.0449944762591,1006.4803923360058,94389.15562652619,65835.4428907483,35557.31616179486,30278.126728953463
LPA87 - YOLO COUNTY,YOLO,CA5700600,FAST & EASY MART #54 - WATER,NC,Private (other),1,100,11/18/19,NA,19-Nov,City of Winters,CA5710005,City,bacteriological issues,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.956556,38.530616,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7417,Community water system,1561.264685,2,NA,NA,Private ancillary,General purpose government,999 E GRANT AVE WINTERS CA 95694,061130113011,"Block Group 1, Census Tract 113.01, Yolo County, California",937,245,803,233,0,13,0,13,15,25,0,13,119,115,134000,92635,388,102,251,76,137,103,388,530-794-6760,Kristine.DeGuerre@CityofWinters.org,196.91974102890666,19159366.993912783,6.861931502599575e-4,6.1531872343568725,639.2359541037781,253.7628853438695,0,0,370.9508606936762,196.91974102890666,145.22670102953654,51.6930399993701
DISTRICT 24 - TULARE,TULARE,CA5403010,VISALIA CITRUS PACKERS-WOODLAKE,NTNC,Private (other),3,150,5/26/17,NA,17-May,City of Woodlake,CA5410020,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.1314448,36.4131647,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7950,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,19743 AVE 344 WOODLAKE CA 93286,061070007012,"Block Group 2, Census Tract 7.01, Tulare County, California",1281,663,489,214,0,13,13,22,1,5,0,13,778,646,30424,11800,475,165,208,66,267,150,475,559-564-8055,rlara@ci.woodlake.ca.us,1785.7738128160513,91069348.38662681,138.32150338026293,0,6417.227139590214,5783.985667076953,0.2072121086507906,20.99999999996416,422.353305335405,1785.7738128160513,888.1237293462796,897.650083469772
LPA87 - YOLO COUNTY,YOLO,CA5700770,KENTUCKY AVENUE INDUSTRIAL,NC,Private (other),5,20,12/3/18,NA,18-Dec,City of Woodland,CA5710006,City,Nitrate,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.7738017,38.69236,Both,Excel data listed system type as NP,NA,No,No,2,Yes,GW,NA,GW,GW,60978,Community water system,32.68915922,1,1,NA,Private ancillary,General purpose government,"515 KENTUCKY AVENUE, woodland, CA 95695",061130112083,"Block Group 3, Census Tract 112.08, Yolo County, California",1499,579,1026,490,8,18,0,13,30,51,0,13,435,328,76365,3372,439,169,274,152,165,106,439,530-661-5963,TIM.BUSCH@CITYOFWOODLAND.ORG,20357.373629606278,1570501674.0567987,4670.637152265592,943.2205761560284,59350.8703384628,29420.744622430648,306.99999999977507,93.99999999994205,22014.260396198148,20357.373629606278,10688.017614433957,9669.356015172327
LPA87 - YOLO COUNTY,YOLO,CA5700649,WESTUCKY WATER ASSOC,C,Private (other),15,33,6/26/19,NA,19-Jun,City of Woodland,CA5710006,City,"Chromium VI, Nitrate, Bacti",Quality,0,1,0,0,0,CDBG,Voluntary Consolidation,Physical,Voluntary,NA,-121.7852554,38.69291977,Both,bacteria not listed as an issue in partnerships tool data,NA,No,No,2,Yes,GW,NA,GW,GW,60978,Community water system,72.11583822,1,1,NA,Private - type unknown,General purpose government,38925 Aspen St Woodland CA 95695,061130112083,"Block Group 3, Census Tract 112.08, Yolo County, California",1499,579,1026,490,8,18,0,13,30,51,0,13,435,328,76365,3372,439,169,274,152,165,106,439,530-661-5963,TIM.BUSCH@CITYOFWOODLAND.ORG,20357.373629606278,1570501674.0567987,4670.637152265592,943.2205761560284,59350.8703384628,29420.744622430648,306.99999999977507,93.99999999994205,22014.260396198148,20357.373629606278,10688.017614433957,9669.356015172327
DISTRICT 21 - VALLEY,SUTTER,CA5100176,CALVARY CHRISTIAN CENTER,NTNC,Private (other),1,245,10/22/18,NA,18-Oct,City of Yuba City,CA5110002,City,"historic nitrate, low level perchlorate",Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.664779,-121.664779,Both,Instead of what is listed for issues here the partnership tool says low level nitrate,NA,No,No,2,Yes,GW,NA,GW,SW,73202,Community water system,949.5993908,1,NA,NA,Private ancillary,General purpose government,2620 COLUSA HIGHWAY YUBA CITY CA 95993,061010505012,"Block Group 2, Census Tract 505.01, Sutter County, California",535,191,367,139,0,13,0,13,0,13,0,13,168,134,70208,35735,193,57,162,59,31,22,193,530-822-4759,tpioro@yubacity.net,14126.275961970965,NA,5182.853301600585,1075.190401355187,39245.560781138694,13911.54540541501,406.1134133093259,124.38971005119453,16629.310437817752,14126.275961970965,6414.784361368443,7711.49160060253
DISTRICT 21 - VALLEY,SUTTER,CA5105009,SIKH TEMPLE GURDWARA,NC,Private (other),1,250,9/28/20,NA,20-Sep,CITY OF YUBA CITY,CA5110002,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.663289,39.16305,Both,Partnership tool lists no issues instead of nitrate,NA,No,No,2,Yes,GW,NA,GW,SW,73202,Community water system,1131.337294,1,NA,NA,Private ancillary,General purpose government,2468 TIERRA BUENA ROAD YUBA CITY CA 95993,061010506011,"Block Group 1, Census Tract 506.01, Sutter County, California",1450,415,1066,397,2,4,0,13,106,142,0,13,266,283,84417,40139,477,127,372,129,105,72,477,530-822-4759,tpioro@yubacity.net,14126.275961970965,NA,5182.853301600585,1075.190401355187,39245.560781138694,13911.54540541501,406.1134133093259,124.38971005119453,16629.310437817752,14126.275961970965,6414.784361368443,7711.49160060253
DISTRICT 03 - MENDOCINO,LAKE,CA1700516,LAKE COUNTY CSA 16 - PARADISE VALLEY,C,CSA,72,133,5/29/19,NA,19-May,Clearlake Oaks CWD,CA1710001,County Water District,Inadequate source capacity,Capacity,1,0,0,0,0,"IRWM, System funds",Voluntary Consolidation,Physical,Voluntary,NA,-122.753025,39.04182,Both,excel listed service connections is 72,NA,No,No,2,Yes,GW,NA,GW,SW,2359,Community water system,2899.864363,5,NA,NA,General purpose government,Special district,8508 PARADISE LAGOON DR. LUCERNE CA 95458,060330006021,"Block Group 1, Census Tract 6.02, Lake County, California",727,303,481,216,1,2,0,13,149,186,0,13,73,89,70221,37327,301,108,198,92,103,65,301,707-998-3322,d.mann@clocwd.org,705.220600537429,39015217.16114179,40.63315399330809,0.790737872231445,1480.0335736429047,197.03746249674015,17.97660449629602,0,1220.5409649612725,705.220600537429,472.82564253378854,232.3949580036405
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301566,LAKE CAHUILLA COUNTY PARK,NC,County (other),61,500,8/10/17,NA,17-Aug,Coachella Valley Water District:  Cove Community,CA3310001,County Water District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-116.276955,33.630365,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,297500,Community water system,NA,NA,NA,NA,Public ancillary,Special district,58075 Jefferson St. La Quinta CA 92253,060650444034,"Block Group 4, Census Tract 444.03, Riverside County, California",1430,520,681,271,2,4,67,51,68,48,0,13,511,348,47604,45858,495,155,359,151,136,84,495,760-398-2651,JBarrett@cvwd.org,138266.52265800885,NA,11250.54199039659,7181.97429907527,343735.31223374046,185308.90642841908,880.9387251257826,273.53361528346755,132742.00953015298,138266.52265800885,97039.45032917189,41227.07232883688
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301153,"CVUSD, WESTSIDE SCHOOL",NTNC,School,11,975,2/10/21,NA,21-Feb,COACHELLA VWD: COVE COMMUNITY,CA3310001,County Water District,"CHROMIUM 6, COLIFORM",Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-116.229993,33.641433,Both,Partnership tool just lists coliform,NA,No,No,5,Coachella,GW,NA,GW,GW,297500,Community water system,0,1,1,NA,Public ancillary,Special district,82225 AIRPORT BLVD THERMAL CA 92274,060650456151,"Block Group 1, Census Tract 456.15, Riverside County, California",1801,519,366,357,0,13,0,13,0,13,0,13,1435,421,67171,36479,549,108,515,107,34,39,549,760-398-2651,JBarrett@cvwd.org,138266.52265800885,NA,11250.54199039659,7181.97429907527,343735.31223374046,185308.90642841908,880.9387251257826,273.53361528346755,132742.00953015298,138266.52265800885,97039.45032917189,41227.07232883688
