"Regulating_agency","County","SystemID","System_Name","System_Type","Institution_type","Connections","Population","Inactivation_Date","Activity_date_from_tool","Date_combined","Receiving_Water_System","Receiving_System_ID","Receiving_System_Institution_Type","Issue_SWRCB","Issue_summary","Issue_capacity","Issue_quality","Issue_TMF","Issue_disaster","Issue_sustainability","Funding_Source","Consolidation_Type","Physical_or_Mangerial","Mandatory_or_voluntary","Story_link","long","lat","Data_source","Notes","Notes_Suzanne","Remove?","2016_proxydata_pop_con_type_county","Number_systems_involved","Unique_project","Consolidatedsystem_primary_source_combined","EPA_2021_source","Consolidatedsystem_primary_source_combinedFINAL","Receiving_2021_source","Receiving_2021_pop","Receiving_2021_systemtype","Distance(m)","Prox_ord","CES_Receiving_Polygon","DistNote","govcat_cons","govcat_rec"
NA,"TEHAMA","CA5200574","LARKSPUR MEADOWS WATER CO.","C","IOU",31,70,NA,NA,"17-Mar","DEL ORO WC - LARKSPUR MEADOWS","CA5200574","IOU",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Inst. diversity paper","2016, private to IOU","No records of change in ECM, would need to email district","No","Yes",NA,"Yes",NA,"GW","GW","GW",112,"Community water system",NA,NA,NA,NA,"IOU","IOU"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3303012","BEL AIR GREENS, LP","NC","Private (other)",1,150,"4/18/17",NA,"17-Apr","Desert Water Agency","CA3310005","Special Act District","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-116.5115683,33.8081936,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",89232,"Community water system",NA,NA,NA,NA,"Private ancillary","Special district"
"LPA37- Contra Costa County","CONTRA COSTA","CA0707602","BEACON WEST","C","MHP",17,45,"1/1/18","Dec.2017","18-Jan","Diablo Water District","CA0710007","County Water District","Arsenic","Quality",0,1,0,0,0,"LWS funded","Voluntary Consolidation","Physical","Voluntary",NA,-121.744998,37.960949,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",40144,"Community water system",1575.085753,3,NA,NA,"Private ancillary","Special district"
"LPA34- Butte County","BUTTE","CA0400066","DURHAM UNIFIED SCHOOL DISTRICT","NTNC","School",18,1200,"8/30/17",NA,"17-Aug","Durham Irrigation","CA0410003","Irrigation District","Nitrate","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.8020703,39.6475502,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",1561,"Community water system",181.6410466,1,1,NA,"Public ancillary","Special district"
"LPA66 - SAN BERNARDINO COUNTY","SAN BERNARDINO","CA3601060","ROBERTSON'S READY MIX INC","NTNC","Private (other)",1,100,"2/22/18",NA,"18-Feb","East Valley Water District","CA3610064","County Water District","historic uranium/gross alpha","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-117.206565,34.1030142,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",103000,"Community water system",256.2268456,4,NA,NA,"Private ancillary","Special district"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3302093","COUNTY WATER OF RIVERSIDE","C","Private (other)",140,420,"5/25/17",NA,"17-May","Eastern Municipal Water District (EMWD)","CA3310009","MWD","Nitrate","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary","HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/RIVERSIDE_COUNTY_WS.PDF",-117.37587,33.657021,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",608232,"Community water system",11349.70614,6,NA,NA,"Private - type unknown","Special district"
"LPA39- El Dorado County","EL DORADO","CA0900108","GOLD COUNTRY BAPTIST CHURCH","NC","Private (other)",2,275,"6/7/19",NA,"19-Jun","El Dorado ID","CA0910001","Irrigation District","TCR","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.932803,38.666272,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",129007,"Community water system",NA,NA,NA,NA,"Private ancillary","Special district"
"LPA64 - SACRAMENTO COUNTY","SACRAMENTO","CA3400249","JOSEPH KERR MIDDLE SCHOOL","NTNC","School",12,1321,"1/7/21",NA,"21-Jan","ELK GROVE WATER SERVICE","CA3410008","RCD","NONE","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.37314,38.409591,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",42540,"Community water system",0,1,1,NA,"Public ancillary","Special district"
"DISTRICT 20 - RIVERSIDE","RIVERSIDE","CA3310015","ELSINORE VALLEY MWD - TEMESCAL","C","MWD",696,2294,"7/20/17",NA,"17-Jul","Elsinore Valley MWD","CA3310012","MWD","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-117.339836,33.681182,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",152433,"Community water system",NA,NA,NA,NA,"Special district","Special district"
"LPA75 - SHASTA COUNTY","SHASTA","CA4500084","MCARTHUR MOBILEHOME PARK","C","MHP",41,99,NA,"16-Oct","16-Oct","FALL RIVER VALLEY C.S.D.","CA4510008","CSD","Manganese","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-121.396952,41.051763,"Tool",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",1535,"Community water system",3.060522658,1,NA,NA,"Private ancillary","Special district"
"District 23 - Fresno","FRESNO","CA1000112","FAIRMONT SCHOOL","NTNC","School",6,483,"6/10/19",NA,"19-Jun","FCSA #10/Cumora Knolls","CA1000039","CSA","Nitrate, 123-TCP","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary","HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/FAIRMONT.PDF",-119.565632,36.780411,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",132,"Community water system",3081.28373,6,NA,NA,"Public ancillary","General purpose government"
"District 14 - San Diego","IMPERIAL","CA1310017","CHP CALEXICO PORT OF ENTRY","NTNC","State",1,223,"12/8/17",NA,"17-Dec","Gateway to Americas","CA1300018","CSA","DBPs","Quality",0,1,0,0,0,"CalTrans","Voluntary Consolidation","Physical","Voluntary",NA,-115.38499,32.6807757,"Both",NA,NA,"No","No","2","Yes","SW",NA,"SW","SW",1800,"Community water system",NA,NA,NA,NA,"Public ancillary","General purpose government"
"District 19 - Tehachapi","KERN","CA1502163","LINNS VALLEY SCHOOL","NTNC","School",4,106,"3/1/17","Feb.2017","17-Mar","Glennville Mutual Water Company","CA1503536","MWC","TCR","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-118.704235,35.72999,"Both","System typle listed as NP in annual excel sheets.",NA,"No","No","2","Yes","GW",NA,"GW","GW",100,"Community water system",43.47480674,2,1,NA,"Public ancillary","Nonprofit private"
"LPA37- Contra Costa County","CONTRA COSTA","CA0707558","HERTZ WATER SYSTEM","C","Private (other)",16,35,"2/22/19",NA,"19-Feb","Golden State Water Company- Bay Point","CA0710002","IOU","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.9246386,38.01856574,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",22295,"Community water system",287.7741467,2,NA,NA,"Private - type unknown","IOU"
"DISTRICT 06 - SANTA BARBARA","SAN LUIS OBISPO","CA4010040","RURAL WATER COMPANY","C","IOU",959,2559,NA,NA,"15-Oct","GOLDEN STATE WATER COMPANY-CYPRESS RIDGE","CA4010040","IOU",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Inst. diversity paper","Competed end of 2015, now IOU was IOU so no change","Rural WC CA4000550 is inactive, physical location listed as Grover City 93483, close but not right in GSW boundaries for Cypress. No records of change in ECM, would need to email district.","No","No",NA,"Yes","GW","GW","GW","GW",2559,"Community water system",18491.90651,21,NA,NA,"IOU","IOU"
"DISTRICT 08 - SANTA ANA","ORANGE","CA3010070","GOLDEN STATE WC - YORBA LINDA","C","IOU",1682,5551,"18-Oct",NA,"18-Oct","GOLDEN STATE WC - PLACENTIA/YORBA LINDA","CA3010035","IOU","None","None",0,0,0,0,0,"Other","Voluntary Consolidation","Physical","Voluntary",NA,-117.869498,33.868331,"Both",NA,NA,"No","No","2","Yes","SWP",NA,"SWP","SWP",53965,"Community water system",NA,NA,NA,NA,"IOU","IOU"
"LPA66 - SAN BERNARDINO COUNTY","SAN BERNARDINO","CA3601055","ROADRUNNER MHP","C","MHP",59,150,"7/28/17",NA,"17-Jul","Golden State-Morongo Del Norte","CA3600270","IOU","Uranium","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-116.54686,34.069041,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",870,"Community water system",38.0022669,2,1,NA,"Private ancillary","IOU"
"LPA49 - LA COUNTY","LOS ANGELES","CA1900912","GORMAN ELEMENTARY SCHOOL","NTNC","School",4,98,"12/2/20",NA,"20-Dec","GOLDEN VALLEY MUNICIPAL WATER DISTRICT","CA1900767","MWD","Coliform","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-118.854108,34.792755,"Both","Yearly excel sheets said self-funded instead of private.",NA,"No","No","2","Yes","GW",NA,"GW","GW",70,"Community water system",NA,NA,NA,NA,"Public ancillary","Special district"
"LPA72 - SANTA BARBARA COUNTY","SANTA BARBARA","CA4200647","COMMUNITY CHRISTIAN SCHOOL","NTNC","School",4,80,"2/13/18",NA,"18-Feb","Goleta Water District","CA4210004","County Water District","None","None",0,0,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-119.799885,34.452451,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",84462,"Community water system",NA,NA,NA,NA,"Public ancillary","Special district"
"LPA46 - KINGS COUNTY","KINGS","CA1600296","OLAM SPICES AND VEGETABLES INC","NTNC","Private (other)",7,75,"5/25/17",NA,"17-May","Hanford","CA1610003","City","Arsenic","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.624592,36.326253,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",17626,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 02 - LASSEN","LASSEN","CA1805009","WEST PATTON VILLAGE CSD","C","CSD",155,465,"3/14/18",NA,"18-Mar","Herlong Public Utility District","CA1805007","PUD","historic TMF failures, old infrastructure","TMF Capacity",0,0,1,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-120.1583517,40.1395117,"Both","Found twice in excel sheets. Other one is from 2017 but 2018 matches tool",NA,"No","No","2","Yes","GWP",NA,"GWP","GW",2114,"Community water system",NA,NA,NA,NA,"Special district","Special district"
"LPA50- MADERA COUNTY","MADERA","CA2000614","OAK CREEK INTERMEDIATE SCHOOL","NTNC","School",7,190,"3/2/18",NA,"18-Mar","Hillview Water Company - Oakhurst/Sierra Lakes","CA2010007","IOU","uranium, historical nitrate and bacteriological","Quality",0,1,0,0,0,"Prop 84","Voluntary Consolidation","Physical","Voluntary","HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/OAK_CREEK_ELEM.PDF",-119.6404017,37.331537,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",3403,"Community water system",NA,NA,NA,NA,"Public ancillary","IOU"
"LPA50- MADERA COUNTY","MADERA","CA2000578","PETE'S PLACE (WATER)","NC","Private (other)",1,150,"3/24/17",NA,"17-Mar","Hillview WC - Oakhurst/Sierra Lakes","CA2010007","IOU","TCR","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.654955,37.331232,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",3403,"Community water system",NA,NA,NA,NA,"Private ancillary","IOU"
"DISTRICT 05 - MONTEREY","SAN BENITO","CA3500526","MCCLOSKEY ROAD LLC","C","MHP",14,0,NA,"18-Dec","18-Dec","HOLLISTER, CITY OF","CA3510001","City","CHROMIUM, NITRATE","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.3936202,36.8688522,"Tool",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",23358,"Community water system",243.5727225,2,NA,NA,"Private ancillary","General purpose government"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3303081","IDYLLWILD ARTS FOUNDATION","NTNC","School",28,275,NA,"16-Dec","16-Dec","IDYLLWILD WATER DISTRICT","CA3310019","County Water District","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-116.7450095,33.75928441,"Tool",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",2500,"Community water system",1149.531613,2,NA,NA,"Public ancillary","Special district"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3302027","EMPIRE POLO CLUB *OOB*","NC","Private (other)",1,50,"8/10/17",NA,"17-Aug","Indio Water Authority","CA3310020","City","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-116.237584,33.703576,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",79114,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3301735","WALLER TRACT WATER DISTRICT","C","MWC",88,350,"5/2/19",NA,"19-May","Indio Water Authority","CA3310020","City","Hexavalent chromium","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-116.214574,33.72952097,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",79114,"Community water system",0.888927888,2,1,NA,"Nonprofit private","General purpose government"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3301046","BOE DEL HEIGHTS MUTUAL WATER","C","MWC",116,325,"8/1/18",NA,"18-Aug","Indio Water Authortiy","CA3310020","City","Perchlorate","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary","HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/BOE_DEL_HEIGHTS.PDF",-116.2191162,33.7122802,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",79114,"Community water system",NA,NA,NA,NA,"Nonprofit private","General purpose government"
"District 10 - Stockton","AMADOR","CA0310020","THE OAKS MOBILE HOME PARK","C","MHP",213,600,"10/14/19",NA,"19-Oct","Jackson Valley Irrigation District","CA0300037","Irrigation District","None","None",0,0,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary","HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/THE_OAKS.PDF",-120.918933,38.295642,"Both",NA,NA,"No","No","2","Yes","SW",NA,"SW","SW",3553,"Community water system",2055.952917,3,NA,NA,"Private ancillary","Special district"
"DISTRICT 18 - SONOMA","SONOMA","CA4900922","SMOTHER'S WATER SYSTEM","NC","Private (other)",1,45,"5/9/17",NA,"17-May","Kenwood Village Water","CA4910025","IOU","E. coli","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-122.546176,38.414022,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",1000,"Community water system",NA,NA,NA,NA,"Private ancillary","IOU"
"LPA46 - KINGS COUNTY","KINGS","CA1600048","KETTLEMAN CITY ELEMENTARY","NTNC","School",12,350,"12/31/19",NA,"19-Dec","Kettleman City CSD","CA1610009","CSD","Arsenic","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-119.9623857,36.0079117,"Both",NA,NA,"No","No","2","Yes",NA,NA,"GW","SW",1450,"Community water system",NA,NA,NA,NA,"Public ancillary","Special district"
"LPA80 - STANISLAUS COUNTY","STANISLAUS","CA5000570","INTERSTATE TRUCK CENTER VALLEY PETERBILT","NC","Private (other)",2,23,"4/28/21",NA,"21-Apr","KEYES COMMUNITY SERVICES DIST.","CA5010009","CSD","ARSENIC","Quality",0,1,0,0,0,"Private","Regionalization","Physical","Voluntary",NA,-120.9009194,37.5460416,"Both","Notes in partnership tool clarify that the stub out was provided by the keyes regionalization project. Excel data said system type of NP. https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf",NA,"No","No","7","Keyes","GW",NA,"GW","GW",5999,"Community water system",625.366073,6,NA,NA,"Private ancillary","Special district"
"LPA80 - STANISLAUS COUNTY","STANISLAUS","CA5000086","COUNTRYSIDE MHP","NP","MHP",44,60,"3/14/19",NA,"19-Mar","Keyes CSD","CA5010009","CSD","Arsenic","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf",-120.895532,37.543037,"Both","Excel data listed system type as C",NA,"No","No","7","Keyes","GW",NA,"GW","GW",5999,"Community water system",1206.385065,11,NA,NA,"Private ancillary","Special district"
"LPA80 - STANISLAUS COUNTY","STANISLAUS","CA5000051","MOBILE PLAZA PARK","C","MHP",50,125,"5/29/19",NA,"19-May","Keyes CSD","CA5010009","CSD","Arsenic","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf",-120.929337,37.569043,"Both",NA,NA,"No","No","7","Keyes","GW",NA,"GW","GW",5999,"Community water system",271.7829768,2,NA,NA,"Private ancillary","Special district"
"LPA80 - STANISLAUS COUNTY","STANISLAUS","CA5000057","ORCHARD VILLAGE MHP","C","MHP",49,75,"5/29/19",NA,"19-May","Keyes CSD","CA5010009","CSD","Arsenic","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf",-120.938564,37.585248,"Both",NA,NA,"No","No","7","Keyes","GW",NA,"GW","GW",5999,"Community water system",2070.298104,8,NA,NA,"Private ancillary","Special district"
"LPA80 - STANISLAUS COUNTY","STANISLAUS","CA5000085","GREEN RUN MOBILE ESTATES","C","MHP",46,100,"5/29/19",NA,"19-May","Keyes CSD","CA5010009","CSD","Arsenic","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf",-120.900048,37.552253,"Both",NA,NA,"No","No","7","Keyes","GW",NA,"GW","GW",5999,"Community water system",326.7081652,2,NA,NA,"Private ancillary","Special district"
"LPA80 - STANISLAUS COUNTY","STANISLAUS","CA5000217","FAITH HOME TEEN RANCH","C","Private (other)",7,50,"5/29/19",NA,"19-May","Keyes CSD","CA5010009","CSD","Nitrate","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/keyes_story.pdf",-120.920875,37.5418585,"Both",NA,NA,"No","No","7","Keyes","GW",NA,"GW","GW",5999,"Community water system",1097.915196,2,NA,NA,"Private ancillary","Special district"
"DISTRICT 03 - MENDOCINO","LAKE","CA1700581","CACHE CREEK MOBILE HOME PARK","C","MHP",42,150,"9/16/21",NA,"21-Sep","KONOCTI COUNTY WATER DISTRICT","CA1710006","County Water District","Fire damage","Disaster",0,0,0,1,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,NA,NA,"Excel","Recently done,  not in partnership tool yet - https://www.lakeconews.com/news/71893-state-awards-konocti-county-water-district-4-3-million-for-expansion-upgrades",NA,"No","No","2","Yes","SW",NA,"SW","SW",5928,"Community water system",32.64285337,2,1,NA,"Private ancillary","Special district"
"LPA49 - LA COUNTY","LOS ANGELES","CA1900122","ENVIRONMENTAL CARE INDUSTRIES-VLY CREST","NTNC","Private (other)",4,100,"11/20/17",NA,"17-Nov","LA - DWP","CA1910067","City","Periodic bacteriological issues","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-118.404382,34.292631,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",4041284,"Community water system",100.0084979,1,NA,NA,"Private ancillary","General purpose government"
"LPA75 - SHASTA COUNTY","SHASTA","CA4500136","KLUB KLONDIKE","NC","Private (other)",2,35,"6/8/21",NA,"21-Jun","LAKEHEAD SUBD MUTUAL WATER CO","CA4500016","MWC","NITRATE","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-122.382991,40.906146,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",70,"Community water system",162.0533923,1,1,NA,"Private ancillary","Nonprofit private"
"District 01 - Klamath","TRINITY","CA5301003","LEWISTON PARK MWC","C","MWC",168,551,"7/1/18",NA,"18-Jul","Lewiston CSD","CA5301002","CSD","monitoring violation","TMF Capacity",0,0,1,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-122.8101756,40.69910505,"Both","Partnerships tool lists none for issues",NA,"No","No","2","Yes","GW",NA,"GW","SW",701,"Community water system",822.2681184,3,NA,NA,"Nonprofit private","Special district"
"DISTRICT 16 - CENTRAL","LOS ANGELES","CA1910241","MESA CREST WATER COMPANY","C","Private (other)",704,2323,NA,"april.2020","20-Apr","LIBERTY UTILITIES - MESA CREST","CA1910241","IOU","None","None",0,0,0,0,0,"Private","Managerial","Managerial","Voluntary",NA,-118.1916567,34.2018983,"Both",NA,NA,"No","No",NA,"Yes",NA,"SWP","SWP","SWP",2336,"Community water system",1019.09622,3,NA,NA,"Private - type unknown","IOU"
NA,"SAN BERNARDINO","CA3600010","APPLE VALLEY RANCHOS WC","C","IOU",49,170,NA,NA,"16-Jan","LIBERTY UTILITIES APPLE VALLEY","CA3600010","IOU",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Inst. diversity paper","Early 2016 acquisition, was a private water co bought and now a IOU","No records of change in ECM, would need to email LPA","No","Yes",NA,"Park WC",NA,"GW","GW","GW",170,"Community water system",11895.45411,20,NA,NA,"IOU","IOU"
"LPA66 - SAN BERNARDINO COUNTY","SAN BERNARDINO","CA3600316","UNION PACIFIC RR / YERMO","NTNC","Private (other)",3,25,"3/15/18",NA,"18-Mar","Liberty Utilities Apple Valley","CA3610118","IOU","None","None",0,0,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-116.8227733,34.90202074,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",1033,"Community water system",NA,NA,NA,NA,"Private ancillary","IOU"
"LPA69 - SAN JOAQUIN COUNTY","SAN JOAQUIN","CA3901035","LODI USD-HENDERSON SCHOOL","NTNC","School",3,200,"4/27/20",NA,"20-Apr","LODI, CITY OF","CA3910004","City","1,2,3-TCP","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.311233,38.100499,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",68272,"Community water system",55.53842969,1,NA,NA,"Public ancillary","General purpose government"
"LPA82 - TEHAMA COUNTY","TEHAMA","CA5201137","MILLSTREAM MOBILE HOME PARK","C","MHP",53,80,"3/17/21",NA,"21-Mar","LOS MOLINOS COMM. SERVICES DIST.","CA5210003","CSD","ARSENIC","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary",NA,-122.1032315,40.0295933,"Both",NA,NA,"No","No","3","Molinos","GW",NA,"GW","GW",1450,"Community water system",404.1112924,2,NA,NA,"Private ancillary","Special district"
"LPA82 - TEHAMA COUNTY","TEHAMA","CA5200550","NEW ORCHARD MOBILE HOME PARK LLC","C","MHP",50,125,"8/31/21","June.2021","21-Aug","LOS MOLINOS COMM. SERVICES DIST.","CA5210003","CSD","ARSENIC","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/neworchard_story.pdf",-122.101887,40.035619,"Both",NA,NA,"No","No","3","Molinos","GW",NA,"GW","GW",1450,"Community water system",863.9194458,3,NA,NA,"Private ancillary","Special district"
"LPA50 - MADERA COUNTY","MADERA","CA2000203","OUTBACK INC","NTNC","Private (other)",4,41,"11/9/21",NA,"21-Nov","MINARETS HIGH SCHOOL","CA2000947","School","NONE","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,NA,NA,"Excel Dec 2021 update",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",450,"Non-Transient non-community system",NA,NA,NA,NA,"Private ancillary","Public ancillary"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3301206","DESERT HOT SPRINGS SPA HOTEL","NP","Private (other)",1,520,"12/9/21",NA,"21-Dec","MISSION SPRINGS WD","CA3310008","County Water District","NONE","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,NA,NA,"Excel Dec 2021 update",NA,NA,"No","No","2","Yes","GW","GW","GW","GW",38694,"Community water system",0,1,1,NA,"Private ancillary","Special district"
"DISTRICT 24 - TULARE","TULARE","CA5402043","MONSON MARKET","NC","Private (other)",2,30,"3/26/21",NA,"21-Mar","MONSON WATER SYSTEM","CA5403212","CSD","NITRATE","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.3398685,36.49492889,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",140,"Community water system",0,1,NA,"Receiving system not in CES polygon set","Private ancillary","Special district"
"LPA39- El Dorado County","EL DORADO","CA0900211","MOTHER LODE RIVER CENTER","NC","Private (other)",3,103,"12/17/18",NA,"18-Dec","Mother Lode Water System","CA0900116","Private (other)","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.942086,38.826342,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",63,"Transient non-community system",NA,NA,NA,NA,"Private ancillary","Private ancillary"
"District 09- Sacramento","NEVADA","CA2910007","NEVADA ID - CASCADE SHORES","C","ID",393,959,"8/31/17",NA,"17-Aug","Nevada ID-E. George","CA2910004","Irrigation District","Landslide, Preventative for DBPs","Multiple",0,0,0,1,1,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.909277,39.263953,"Both","Landslide part of issue field comes from partnerships tool, just said preventative DBCP in excel data",NA,"No","No","2","Yes","SW",NA,"SW","SW",17233,"Community water system",6214.734188,2,NA,NA,"Special district","Special district"
"LPA59 - NEVADA COUNTY","NEVADA","CA2900540","FOREST LAKE CHRISTIAN SCHOOL","NTNC","School",3,300,"5/31/18",NA,"18-May","Nevada Irrigation District","CA2910014","Irrigation District","Pb and Cu, historic SVOC and bacteriological","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-121.062047,39.021785,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",6932,"Community water system",NA,NA,NA,NA,"Public ancillary","Special district"
