PWS ID,PWS Name,PWS Type,Population Served Count,# of Facilities,# of Violations,# of Site Visits,Primary Source,Primary Source Code,Address Line1,Address Line2,Counties Served
CA3601040,HIDDEN ACRES,Transient non-community system,25,2,2,37,Ground water,GW,PO BOX 10 955 LYTLE CREEK RD,,San Bernardino
CA5700815,ZAMORA SHELL & MINI MART,Transient non-community system,158,2,17,9,Ground water,GW,9920 ROAD 99W,,Yolo
CA2701647,GREEN ACRES WA,Community water system,50,3,17,15,Ground water,GW,,8327 DOLAN PL,Monterey
CA3301541,RECHE CANYON MUTUAL WATER CO.,Community water system,150,11,22,13,Ground water,GW,2651 Reche Canyon Road #5037,,Riverside
CA3301283,GLEN EDEN SUN CLUB,Community water system,495,11,19,13,Ground water,GW,25999 Glen Eden Rd.,,Riverside
CA4900911,SAINT ANNE'S CROSSING WINERY,Transient non-community system,50,6,3,1,Ground water,GW,P.O. Box 487,,Sonoma
CA5403138,"BRANDT FARMS, INC",Non-Transient non-community system,100,5,3,3,Ground water,GW,6040 AVE 430,,Tulare
CA4700582,GAZELLE SCHOOL,Non-Transient non-community system,60,3,7,13,Ground water,GW,1420 Delphic Rd.,,Siskiyou
CA4700591,DELPHIC ELEMENTARY SCHOOL,Non-Transient non-community system,50,4,11,12,Ground water,GW,1420 Delphic Rd.,,Siskiyou
CA1010005,FIREBAUGH CITY,Community water system,"7,619",19,15,14,Ground water,GW,1133 P Street,,Fresno
CA1009020,FIVE POINTS RANCH,Community water system,100,4,19,8,Ground water,GW,P O BOX 99,,Fresno
CA5410021,EARLIMART PUD,Community water system,"8,800",13,17,15,Ground water,GW,P.O. BOX 10148,,Tulare
CA1502699,EAST WILSON ROAD WATER COMPANY,Community water system,35,3,59,7,Ground water,GW,6857 E. WILSON ROAD,,Kern
CA2300606,LAKE VIEW MUTUAL WATER CO.,Community water system,90,10,11,4,Ground water,GW,4170 Richey Road,,Mendocino
CA4300831,MT. EDEN MUTUAL WATER COMPANY,Community water system,165,2,7,7,Surface water purchased,SWP,22647 Garrod Road,,Santa Clara
CA1000462,FOUR BAR C FARMS,Transient non-community system,40,3,4,11,Ground water,GW,10825 S WEST,,Fresno
CA5410025,WOODVILLE PUBLIC UTILITY DIST,Community water system,"1,673",7,6,11,Ground water,GW,16716 AVENUE 168,,Tulare
CA1910056,LAKE ELIZABETH MUTUAL WATER CO.,Community water system,"1,790",10,5,17,Surface water purchased,SWP,14960 ELIZABETH LAKE ROAD,,Los Angeles
CA2201070,MARIPOSA DISTRICT FAIRGROUND,Transient non-community system,200,7,1,7,Ground water,GW,5007 FAIRGROUNDS ROAD,,Mariposa
CA1502763,"CLEAN HARBORS BUTTONWILLOW, LLC.",Non-Transient non-community system,26,8,20,7,Ground water purchased,GWP,P.O. BOX 787,,Kern
CA1503194,PARADISE WATER SYSTEM,Non-Transient non-community system,31,4,26,3,Ground water,GW,20948 BURGESS COURT,,Kern
CA1000442,CHERRY AUCTION,Transient non-community system,"7,000",8,5,8,Ground water,GW,4640 S. CHERRY AVENUE,,Fresno
CA4500246,EL RIO ESTATES,Community water system,434,7,4,12,Ground water,GW,P O BOX 1125,,Shasta
CA5400886,COLUMBINE SCHOOL,Non-Transient non-community system,250,2,5,6,Ground water,GW,2240 RD 160,,Tulare
CA5400903,TRACT 92  CSD,Community water system,500,4,19,8,Ground water,GW,P.O. BOX 276,,Tulare
CA5400919,BUENA VISTA SCHOOL,Non-Transient non-community system,250,4,40,9,Ground water,GW,21660 RD 60,,Tulare
CA3600062,CAILLIER WATER SYSTEM,Non-Transient non-community system,"1,000",4,33,55,Ground water,GW,25831 CHERRY HILL DR,,San Bernardino
CA4500329,"STORAGESMITH, LLC DBA LASSEN LANDING",Transient non-community system,40,3,0,6,Ground water,GW,P O BOX 274,,Shasta
CA4500309,HAT CREEK HEREFORD RANCH RV PARK,Transient non-community system,264,9,0,9,Ground water,GW,41397 OPDYKE LN,,Shasta
CA4900611,RAINS CREEK WATER DISTRICT,Community water system,208,4,7,3,Ground water,GW,27375 Dutcher Creek Road,,Sonoma
CA4810009,CITY OF DIXON,Community water system,"9,037",11,2,13,Ground water,GW,600 EAST A ST.,,Solano
CA1503654,COUNTRYSIDE MKT & RESTRNT - COMANCHE,Transient non-community system,100,2,0,3,Ground water,GW,1631 S. COMANCHE DR.,,Kern
CA1503578,SUNNYGEM HULLING & SHELLING OPERATIONS,Transient non-community system,69,2,3,5,Ground water,GW,500 N F Street,,Kern
CA2810003,"NAPA, CITY OF",Community water system,"86,906",31,8,24,Surface water,SW,P.O. BOX 660,,Napa
CA1503666,FREON LOGISTICS,Non-Transient non-community system,33,3,2,6,Ground water,GW,1135 ENOS LANE,,Kern
CA1805007,HERLONG PUBLIC UTILITY DISTRICT,Community water system,"2,114",5,1,15,Ground water,GW,PO Box 115,,Lassen
CA5000554,HUGHSON NUT #2,Non-Transient non-community system,25,3,2,5,Ground water,GW,PO BOX 1150,,Stanislaus
CA5000470,HUGHSON NUT COMPANY WATER SYSTEM,Non-Transient non-community system,80,5,7,11,Ground water,GW,PO BOX 1150,,Stanislaus
CA1200707,MIRANDA C.S.D.,Community water system,600,5,7,8,Ground water,GW,P.O. BOX 160,,Humboldt
CA2800060,BENNETT LANE WINERY,Transient non-community system,25,2,0,2,Ground water,GW,3340 HIGHWAY 128,,Napa
CA1500436,HUNGRY GULCH MWC,Community water system,74,7,75,9,Ground water,GW,P. O. BOX 85,,Kern
CA4500041,ANDERSON UNION HIGH SCHOOL,Non-Transient non-community system,700,7,6,12,Ground water,GW,1471 Ferry St,,Shasta
CA5310002,TRINITY CO. W.W. DIST #1,Community water system,"2,138",4,3,23,Surface water,SW,P.O. BOX 217,,Trinity
CA1700712,LAKEPORT CINEMAS,Transient non-community system,500,5,7,6,Ground water,GW,P.O. BOX 669,,Lake
CA4300994,COYOTE VALLEY RV RESORT,Community water system,500,3,2,6,Ground water,GW,23378 DEERFIELD ROAD,,Santa Clara
CA4800809,VALLEY EVANGELICAL FREE CHURCH,Transient non-community system,"1,200",5,3,6,Ground water,GW,5063 MAPLE ROAD,,Solano
CA1510014,MOJAVE PUD,Community water system,"4,200",24,43,13,Surface water purchased,SWP,15844 K SREET,,Kern
CA4900787,PLAZA MOBILE HOME PARK,Community water system,125,5,4,4,Ground water,GW,871 38th Avenue,,Sonoma
CA4900791,WESTERN MOBILE HOME PARK,Community water system,225,14,22,6,Ground water,GW,871 38th Avenue,,Sonoma
CA1510017,INDIAN WELLS VALLEY W.D.,Community water system,"39,478",55,22,17,Ground water,GW,P. O. Box 1329,,Kern
CA1000176,J R SIMPLOT COMPANY,Non-Transient non-community system,70,7,20,10,Ground water,GW,P.O. Box 128,,Fresno
CA4900924,FREMONT DINER,Transient non-community system,50,4,15,3,Ground water,GW,899 Broadway,,Sonoma
CA1206014,KING RANGE ADMIN-BLM,Transient non-community system,25,5,0,2,Ground water,GW,P.O. Drawer 189,,Humboldt
CA1500560,KRANENBURG WATER SYSTEM,Community water system,42,2,6,6,Ground water,GW,17958 KRANENBURG AVENUE,,Kern
CA1502164,LLANAS CAMP FOUR WATER SYSTEM,Community water system,54,3,10,7,Ground water,GW,688 1/2  FRESNO AVE,,Kern
CA1502066,DELANO GROWERS GRAPE PRODUCTS,Non-Transient non-community system,41,3,2,5,Ground water,GW,32351 BASSETT AVENUE,,Kern
CA1510009,ERSKINE CREEK WC,Community water system,"2,500",10,8,14,Ground water,GW,P.O. BOX 656,,Kern
CA5210003,LOS MOLINOS COMM. SERVICES DIST.,Community water system,"1,450",9,54,23,Ground water,GW,P.O. BOX 9,,Tehama
CA3500511,CASA DE FRUTA ORCHARDS,Community water system,53,8,5,8,Ground water,GW,10021 PACHECO PASS HWY,,San Benito
CA4300611,CASA DE FRUTA WATER SYSTEM,Community water system,250,9,8,6,Ground water,GW,10021 PACHECO PASS HWY,,Santa Clara
CA1200704,AZALEA GLEN,Transient non-community system,65,3,12,13,Surface water,SW,P. O. BOX 1099,,Humboldt
CA4800589,CRESTA MESA PARQUE,Community water system,25,2,8,6,Ground water,GW,9 OAK LANE,,Solano
CA4700562,SWISS HOLIDAY LODGE,Transient non-community system,25,3,0,7,Ground water,GW,2400 MT. SHASTA BLVD.,,Siskiyou
CA3010036,CITY OF SAN CLEMENTE,Community water system,"51,065",40,3,22,Surface water purchased,SWP,380 AVENIDA PICOBLDG. N,,Orange
CA1700519,CRESCENT BAY IMPROVEMENT COMPANY,Community water system,30,3,40,8,Surface water,SW,12820 ANDERSON ROAD,,Lake
CA1503215,"FAMOSO RACEWAY, SMOKERS INC.",Transient non-community system,"5,000",2,8,4,Ground water,GW,33559 FAMOSO ROAD,,Kern
CA2800588,NAPA VALLEY COUNTRY CLUB,Non-Transient non-community system,400,4,3,17,Ground water,GW,3385 HAGEN RD.,,Napa
CA1410800,CDF - OWENS VALLEY CONSERVATION CAMP,Community water system,127,3,5,7,Ground water,GW,2781 SOUTH ROUND VALLEY RD.,,Inyo
CA4210020,SANTA YNEZ RIVER WATER CONS. DIST. ID#1,Community water system,"6,737",46,10,20,Surface water purchased,SWP,PO Box 157,,Santa Barbara
CA5301017,RUSH CREEK MUTUAL WATER SYSTEM,Community water system,104,3,3,12,Surface water,SW,P.O. BOX 1848,,Trinity
CA4710011,"YREKA, CITY OF",Community water system,"7,290",11,2,23,Surface water,SW,856 N. MAIN STREET,,Siskiyou
CA1910157,SUNNY SLOPE WATER CO.,Community water system,"30,700",25,0,22,Ground water,GW,1040 EL CAMPO DRIVE,,Los Angeles
CA4200943,TEIXEIRA FARMS - FRONTIER COOLING,Non-Transient non-community system,80,5,7,3,Ground water,GW,2600 BONITA LATERAL ROAD,,Santa Barbara
CA3610013,"LOMA LINDA, CITY OF",Community water system,"24,482",36,3,11,Ground water,GW,25541 BARTON ROAD,,San Bernardino
CA2300818,MOSS COVE REST STOP (CALTRANS),Transient non-community system,400,3,0,3,Ground water,GW,P.O. BOX 3700,,Mendocino
CA2300819,IRVINE LODGE REST STOP (CALTRANS),Transient non-community system,300,3,1,3,Ground water,GW,P.O. BOX 3700,,Mendocino
CA2300820,EMPIRE REST STOP (CALTRANS),Transient non-community system,300,4,0,3,Ground water,GW,P.O. BOX 3700,,Mendocino
CA5304507,CALTRANS-SALYER SAFETY REST STOP,Transient non-community system,400,3,1,9,Ground water,GW,P.O. BOX 3700,,Trinity
CA1200754,CALTRANS-TRINIDAD NB,Transient non-community system,"1,000",7,2,6,Ground water,GW,P.O. BOX 3700,,Humboldt
CA0800661,CALTRANS-COLLIER TUNNEL RS,Transient non-community system,50,5,26,9,Ground water,GW,P.O. BOX 3700,,Del Norte
CA2701897,BERRY DR WS #02,Community water system,50,2,6,12,Ground water,GW,PO BOX 7182,,Monterey
CA1000383,GUARDIAN INDUSTRIES LLC,Non-Transient non-community system,291,4,9,12,Ground water,GW,11535 E. Mountain View Avenue,,Fresno
CA2010801,VALLEY STATE PRISON,Community water system,"3,095",8,27,7,Ground water,GW,P.O. BOX 99,,Madera
CA3701694,PINEZANITA INC.,Transient non-community system,400,5,3,7,Ground water,GW,PO BOX 2380,,San Diego
CA3701884,MOUNTAIN EMPIRE R.V. PARK AND CAMPGROUND,Transient non-community system,26,4,11,8,Ground water,GW,29416 HWY 94,,San Diego
CA3701965,MATAGUAY SCOUT RESERVATION,Transient non-community system,400,6,15,8,Ground water,GW,27955 HY 79,,San Diego
CA3700846,AGUA CALIENTE COUNTY PARK,Transient non-community system,400,19,16,13,Ground water,GW,5201 RUFFIN ROAD  SUITE P,,San Diego
CA3700900,LAKE HENSHAW RESORT INC.,Community water system,300,3,12,13,Ground water,GW,26439 HWY 76,,San Diego
CA5402057,DEER CREEK RV PARK,Transient non-community system,123,2,3,7,Ground water,GW,P.O. BOX 10182,,Tulare
CA1503672,PRINCE TRUCK STOP WATER SYSTEM,Transient non-community system,32,2,0,3,Ground water,GW,8632 Highway 166,,Kern
CA1200553,WEOTT C.S.D.,Community water system,364,8,42,18,Surface water,SW,P.O. Box 218,,Humboldt
CA4310014,CITY OF SUNNYVALE,Community water system,"155,567",18,5,13,Surface water purchased,SWP,P.O. BOX 3707,,Santa Clara
CA3010082,SERRANO WATER DISTRICT,Community water system,"5,895",16,2,35,Surface water,SW,18021 East Lincoln Street,,Orange
CA3701407,SACRED MOUNTAIN INN,Transient non-community system,30,3,4,10,Ground water,GW,2323 FARMER RD,,San Diego
CA3701568,REY RIVER RANCH CORP.,Transient non-community system,4,4,3,7,Ground water,GW,11763 LA COLINA RD,,San Diego
CA3600308,FREEDOM ACRES THE RESORT,Community water system,500,4,2,44,Ground water,GW,1924 GLEN HELEN ROAD,,San Bernardino
CA3600378,SUNSHINE RESORT,Transient non-community system,500,3,24,31,Ground water,GW,PO BOX 219,,San Bernardino
CA1910125,PICO WD,Community water system,"25,284",21,2,20,Ground water,GW,P.O. BOX 758,,Los Angeles
CA4901106,CATHOLIC CHARITIES - CYO CAMP,Transient non-community system,250,3,14,10,Surface water,SW,990 EDDY STREET,,Sonoma
CA5301108,TRINITY ALPS RESORT,Transient non-community system,307,3,1,10,Surface water,SW,1750 TRINITY ALPS RD.,,Trinity
CA3500527,VALENZUELA WATER SYSTEM,Community water system,55,3,42,13,Ground water,GW,PO Box 1070,,San Benito
CA0900529,STATION HOUSE INN,Non-Transient non-community system,310,3,5,6,Ground water,GW,401 UNION ST FL2,,El Dorado
CA4600009,"SIERRA CSA #5, SIERRA BROOKS",Community water system,515,3,11,18,Ground water,GW,PO BOX 98,,Sierra
CA1510040,KERN COUNTY WATER AGENCY,Community water system,0,34,0,13,Surface water,SW,P.O. BOX 58,,Kern
CA1010019,"KINGSBURG, CITY OF",Community water system,"12,002",22,15,14,Ground water,GW,1401 Draper Street,,Fresno
CA5500191,LELAND CREEK IMPROVEMENT ASSOC,Transient non-community system,79,2,25,6,Ground water,GW,1905 Edgebrook Drive Unit C,,Tuolumne
CA1000525,SIERRA ENDANGERED CAT HAVEN,Transient non-community system,155,4,11,7,Ground water,GW,38257 E KINGS CANYON RD,,Fresno
CA0310803,LA MESA VINEYARDS,Transient non-community system,25,3,0,0,Ground water,GW,13200 Shenandoah Road,,Amador
CA1900092,ACTON LA NORTH KOA,Transient non-community system,400,13,10,10,Ground water,GW,7601 SOLEDAD CANYON RD,,Los Angeles
CA2203024,THE COTTAGES AT TENAYA LODGE,Transient non-community system,265,2,4,5,Ground water,GW,P.O. Box 159,,Mariposa
CA2210003,DELAWARE NORTH PARKS SERVICES AT TENAYA,Non-Transient non-community system,800,14,10,14,Ground water,GW,P.O. Box 159,,Mariposa
CA5700816,WEST VALLEY BAPTIST CHURCH,Transient non-community system,150,3,4,4,Ground water,GW,18045 CR 95,,Yolo
CA5700562,JACK IN THE BOX #3465,Transient non-community system,41,4,7,7,Ground water,GW,44814 S GRIMMER BLVD,,Yolo
CA2801081,MT. GEORGE ESTATES,Transient non-community system,100,2,24,7,Ground water,GW,2202 Loma Heights Rd,,Napa
CA1610001,ARMONA COMMUNITY SERVICES DIST,Community water system,"4,143",13,79,7,Ground water,GW,P. O. BOX 486,,Kings
CA3110004,CITY OF LINCOLN,Community water system,"49,317",16,0,13,Surface water purchased,SWP,600 Sixth Street,,Placer
CA0706029,EXCELSIOR MIDDLE SCHOOL,Non-Transient non-community system,600,3,3,40,Ground water,GW,14301 Byron Hwy,,Contra Costa
CA0300078,IONE BAND OF MIWOK INDIANS,Community water system,40,7,3,22,Ground water,GW,9252 Bush Street,,Amador
CA3810700,PRESIDIO OF SAN FRANCISCO,Community water system,"3,500",7,5,28,Surface water,SW,PO BOX 29052,,San Francisco
CA3900752,STEVENS MOTEL WATER SYSTEM,Transient non-community system,25,3,2,22,Ground water,GW,4545 Gnekow Road,,San Joaquin
CA3610114,CLAWA,Community water system,"2,320",9,0,9,Surface water,SW,P.O. BOX 3880,,San Bernardino
CA3301381,CSA 51,Community water system,350,4,3,19,Ground water,GW,P.O. Box 316,,Riverside
CA3301577,CSA 62,Community water system,700,7,22,17,Ground water,GW,13341 Mesa Drive,,Riverside
CA3301058,COUNTRY HILLS RV PARK,Non-Transient non-community system,455,4,13,8,Ground water,GW,14711 MANZANITA RD,,Riverside
CA2701034,APPLE AVE WS #02,Community water system,75,3,40,13,Ground water,GW,PO BOX 1790,,Monterey
CA1503663,WONDERFUL HULLING & SHELLING WS,Non-Transient non-community system,72,3,0,4,Surface water,SW,13646 HWY 33,,Kern
CA1503275,WP&A - KING WATER SYSTEM,Non-Transient non-community system,310,4,4,8,Surface water,SW,13646 HWY 33,,Kern
CA2010015,WP&A-FIREBAUGH WATER SYSTEM,Non-Transient non-community system,464,3,0,2,Surface water,SW,13646 HWY 33,,Madera
CA1502759,WP&A - LOST HILLS WATER SYSTEM,Non-Transient non-community system,"1,696",3,10,14,Surface water,SW,13646 HWY 33,,Kern
CA3600602,ALPINE CAMP AND CONFERENCE CENTER,Transient non-community system,427,6,0,31,Ground water,GW,PO BOX 155,,San Bernardino
CA4901113,MOM S APPLE PIE,Transient non-community system,30,4,5,2,Ground water,GW,4550 Gravenstein Highway,,Sonoma
CA2800530,MEYERS WATER CO.,Community water system,250,2,19,22,Ground water,GW,Meyers Water Co,1830 Milton Rd,Napa
CA3200178,WILSONS CAMP PRATTVILLE,Transient non-community system,50,4,0,11,Ground water,GW,2932 Almanor Dr.,,Plumas
CA3200051,WALTONS GRIZZLY LODGE,Transient non-community system,200,9,0,7,Ground water,GW,P.O. BOX 519,5390 ICE POND ROAD,Plumas
CA3410033,FLORIN COUNTY WATER DISTRICT,Community water system,"7,831",22,16,24,Ground water,GW,P.O. BOX 292055,,Sacramento
CA2800516,TUCKER ACRES MUTUAL WATER CO.,Community water system,200,5,18,22,Ground water,GW,PO BOX 645,,Napa
CA2800525,LA TIERRA HEIGHTS MUTUAL,Community water system,67,5,9,19,Ground water,GW,PO BOX 295,,Napa
CA2800528,LINDA VISTA MUTUAL WATER CO,Community water system,50,6,3,21,Ground water,GW,PO BOX 82,,Napa
CA4910005,"HEALDSBURG, CITY OF",Community water system,"12,104",21,3,12,Groundwater under influence of surface water,GU,401 Grove Street,,Sonoma
CA4900936,UNION HOTEL,Transient non-community system,350,6,4,2,Ground water,GW,3731 MAIN STREET,P.O. BOX 1,Sonoma
CA2500911,I'SOT WELL #3 & #15,Community water system,215,9,1,10,Ground water,GW,P.O. BOX 125,,Modoc
CA5305504,FISH TAIL INN,Transient non-community system,274,3,10,12,Surface water,SW,C/O STRAWHOUSE 457 HIGHWAY 299,,Trinity
CA0510001,UNION PUBLIC UTILITY DISTRICT,Community water system,"4,620",3,17,23,Surface water,SW,339 MAIN STREET,,Calaveras
CA1100250,SACRAMENTO NAT. WILDLIFE REFUGE,Transient non-community system,374,3,1,8,Ground water,GW,752 COUNTY ROAD 99W,,Glenn
CA5602101,ESTERINA PROPERTIES,Community water system,50,5,17,10,Ground water,GW,601 Alameda Padre Serra,,Ventura
CA3600534,DE BENNEVILLE PINES,Transient non-community system,250,2,0,30,Ground water,GW,627 E. Palm Ave,,San Bernardino
CA3601148,RILEY'S LOG CABIN FARM,Transient non-community system,25,2,3,25,Ground water,GW,12201 SO OAK GLEN RD,,San Bernardino
CA4901263,MATRIX WINERY,Transient non-community system,30,5,2,2,Ground water,GW,P.O. BOX 1610,,Sonoma
CA2702588,CANADA WOODS WC,Community water system,610,37,4,6,Groundwater under influence of surface water,GU,PO BOX 450,,Monterey
CA1700713,SHANNON RIDGE WINERY,Transient non-community system,25,2,0,0,Ground water,GW,P.O. Box 676,,Lake
CA4200968,MARTIAN RANCH & VINEYARD,Transient non-community system,35,2,0,2,Ground water,GW,9110 ALISOS CANYON ROAD,,Santa Barbara
CA4200930,CAMBRIA WINERY,Non-Transient non-community system,150,4,0,9,Ground water,GW,5475 CHARDONNAY LANE,,Santa Barbara
CA4110012,CUESTA LA HONDA GUILD INC,Community water system,832,9,5,7,Surface water,SW,P.O. Box 457,,San Mateo
CA4901255,SAINT FRANCIS WINERY-WILD OAK VINEYARDS,Non-Transient non-community system,100,4,5,3,Ground water,GW,500 Pythian Road,,Sonoma
CA3500559,QUINTERO LABOR CAMP #1 (WRIGHT RD),Transient non-community system,50,4,8,10,Ground water,GW,1761 WRIGHT ROAD,,San Benito
CA1800515,LAHONTAN HEIGHTS HOME. ASSOC.,Transient non-community system,61,2,1,4,Ground water,GW,466-100 COOK ROAD,,Lassen
CA4500162,INDIAN SPRINGS SCHOOL,Non-Transient non-community system,25,6,2,9,Ground water,GW,25299 BIG BEND RD,PO BOX 70,Shasta
CA5010038,MODESTO IRRIGATION DISTRICT,Community water system,18,4,0,25,Surface water,SW,PO BOX 4060,,Stanislaus
CA1900007,CALIFORNIA CONSERVATION CAMP #14,Community water system,107,9,14,9,Groundwater under influence of surface water,GU,1320 N. Eastern Ave.,,Los Angeles
CA1900901,FIRE SUPPRESSION CAMP #19,Community water system,250,11,4,8,Groundwater under influence of surface water,GU,1320 N. Eastern Ave.,,Los Angeles
CA1400058,MOUNT WHITNEY GOLF CLUB,Transient non-community system,100,2,14,3,Ground water,GW,P.O. Box O,,Inyo
CA2400231,"JOHN B. SANFILIPPO & SON, INC.",Non-Transient non-community system,112,3,1,2,Ground water,GW,29241 W. Cottonwood Road,,Merced
CA1700685,SKYPARK PROPERTIES,Transient non-community system,25,3,9,4,Ground water,GW,395 Taylor Blvd. Ste 120,,Lake
CA2800532,VAILIMA ESTATES MUTUAL WATER,Community water system,25,3,13,22,Ground water,GW,2 SWANSTON,,Napa
CA1300643,MESQUITE MINES INC.,Non-Transient non-community system,285,7,3,30,Ground water,GW,6502 E. Hwy 78,,Imperial
CA3900561,LODI LAKE MOBILE HOME PARK,Community water system,104,4,11,55,Ground water,GW,2555 Huntington Drive,,San Joaquin
CA5700509,CLARKSBURG MIDDLE SCHOOL,Non-Transient non-community system,460,5,11,18,Ground water,GW,445 Montezuma Street,,Yolo
CA5700510,DELTA HIGH SCHOOL,Non-Transient non-community system,250,4,2,14,Ground water,GW,445 Montezuma Street,,Yolo
CA1909645,LANCASTER NATIONAL SOCCER CENTER,Transient non-community system,500,16,1,10,Ground water,GW,44933 FERN AVE.,,Los Angeles
CA0300101,ROMBAUER SIERRA FOOTHILLS,Transient non-community system,44,4,0,8,Ground water,GW,3522 Silverado Trail,,Amador
CA1300540,COCO PALMS MOBILE HOME PARK,Transient non-community system,25,3,48,16,Ground water,GW,P.O. Box 278,,Imperial
CA5403118,SAPUTO DAIRY FOOD USA,Non-Transient non-community system,152,4,1,4,Ground water,GW,605 North J Street,,Tulare
CA1510046,LOST HILLS UTILITY DISTRICT,Community water system,"2,412",6,30,8,Ground water,GW,P. O. BOX 246,,Kern
CA1200597,RICHARDSON GROVE CAMPGROUND & RV PARK,Transient non-community system,750,3,26,12,Ground water,GW,P.O. Box 1012,,Humboldt
CA1800523,PINEVIEW MOBILE HOME PARK,Community water system,113,3,6,9,Ground water,GW,2000 Paiute Lane #1,,Lassen
CA4510016,CLEAR CREEK CSD-ANDERSON,Community water system,"8,900",9,3,38,Surface water,SW,5880 Oak St,,Shasta
CA1900904,ACTON CONSERVATION CAMP #11,Non-Transient non-community system,90,8,7,9,Groundwater under influence of surface water,GU,1320 N. Eastern Ave.,,Los Angeles
CA1900764,HENNINGER FLATS,Transient non-community system,53,4,1,14,Surface water,SW,1320 N. Eastern Ave.,,Los Angeles
CA3104519,CALTRANS-WHITMORE MAINT. STATION,Transient non-community system,30,4,1,6,Ground water,GW,10057 Gold Flat Rd,,Placer
CA1900541,WESTERN SKIES MOBILE HOME PARK,Community water system,198,10,6,14,Ground water,GW,3157 EAST AVE I,,Los Angeles
CA2100566,SKYWALKER RANCH,Non-Transient non-community system,250,14,9,3,Ground water,GW,5858 Lucas Valley Road,,Marin
CA1000604,JOHANN DAIRY,Non-Transient non-community system,50,10,29,2,Ground water,GW,11511 W. Floral Avenue,,Fresno
CA4310018,CITY OF CUPERTINO,Community water system,"16,530",8,3,17,Surface water purchased,SWP,1221 A South Bascom Avenue,,Santa Clara
CA0706005,FARRAR PARK PROPERTY OWNERS,Community water system,140,3,4,22,Ground water,GW,2566 Taylor Rd,,Contra Costa
CA4900694,WRIGHT ELEMENTARY SCHOOL,Non-Transient non-community system,500,3,3,4,Ground water,GW,4385 Price Ave,,Sonoma
CA1503270,LAKE ISABELLA COMMUNITY SERVICES DIST,Community water system,500,6,7,5,Ground water purchased,GWP,P.O. BOX 647,,Kern
CA4310022,GREAT OAKS WC INC,Community water system,"103,590",29,5,25,Ground water,GW,20 Great Oaks Blvd.,Suite 120,Santa Clara
CA1910086,MAYWOOD MUTUAL WATER CO. #3,Community water system,"9,500",13,5,19,Surface water purchased,SWP,6151 HELIOTROPE AVENUE,,Los Angeles
CA2010003,BASS LAKE WATER COMPANY,Community water system,"4,527",12,3,11,Surface water,SW,P.O. BOX 113,,Madera
CA4300912,MECCHI WATER COMPANY,Community water system,104,4,8,7,Ground water,GW,1367 TOFTS DRIVE,,Santa Clara
CA4300581,VELLADAO MOBILE HOME PARK,Community water system,75,2,8,5,Ground water,GW,186 GREVILLIA DRIVE,,Santa Clara
CA4901130,GRAVENSTEIN BUSINESS PARK,Non-Transient non-community system,50,3,3,2,Ground water,GW,P.O. Box 1802,,Sonoma
CA2801075,CAKEBREAD CELLAR,Non-Transient non-community system,100,5,3,20,Ground water,GW,PO BOX 216,,Napa
CA5403106,EXETER-IVANHOE CITRUS ASSOCIATION,Non-Transient non-community system,106,3,42,8,Ground water,GW,901 ROCKY HILL DR,,Tulare
CA2810009,BERRYESSA PINES WATER SYSTEM,Community water system,261,4,10,15,Surface water,SW,4340 SPANISH FLAT LOOP ROAD,P.O. BOX 9163,Napa
CA1502277,TEHACHAPI CUMMINGS COUNTY WATER DISTRICT,Transient non-community system,30,3,1,4,Ground water,GW,P.O. BOX 326,,Kern
CA5700712,CAL AM - DUNNIGAN,Community water system,400,14,5,15,Ground water,GW,4701 Beloit Drive,,Yolo
CA1009111,SCE/BIG CREEK POWERHOUSE #1,Community water system,126,6,35,24,Surface water,SW,2244 Walnut Grove Avenue,,Fresno
CA2810001,HOWELL MOUNTAIN MUTUAL WATER COMPANY,Community water system,"2,070",6,44,12,Surface water,SW,PO Box 9,,Napa
CA2400053,EL NIDO MOBILE HOME PARK,Community water system,137,7,6,5,Ground water,GW,9155 SADDLE RIDGE WAY,,Merced
CA0707585,MORAGA HEIGHTS MUTUAL WATER,Community water system,60,3,24,38,Ground water,GW,PO Box 64,,Contra Costa
CA2000629,KANE RANCH WATER ASSOCIATION,Transient non-community system,200,12,8,8,Ground water,GW,56001 HWY 41,,Madera
CA1500544,ENOS LANE PUBLIC UTILITY DISTRICT,Community water system,365,6,35,7,Ground water,GW,P.O. BOX 22198,,Kern
CA3200019,OAKLAND FEATHER RIVER CAMP,Transient non-community system,300,8,27,7,Ground water,GW,Oakland Feather River Camp,5469 Oakland Camp Road,Plumas
CA5403043,YETTEM WATER SYSTEM,Community water system,350,4,7,9,Ground water,GW,5961 S.MOONEY BLVD,,Tulare
CA5400550,SEVILLE WATER COMPANY,Community water system,691,4,21,9,Ground water,GW,5961 S.MOONEY BLVD,,Tulare
CA5000297,BUEHNER HOUSES,Community water system,25,4,18,11,Ground water,GW,"30,000 Kasson Road, Unit 290",,Stanislaus
CA5000313,BUEHNER WATER SYSTEM,Community water system,150,5,15,13,Ground water,GW,"30,000 Kasson Road, Unit 290",,Stanislaus
CA3910018,SAN JOAQUIN RIVER CLUB INC,Community water system,600,7,8,12,Ground water,GW,"30,000 Kasson Road, Unit 290",,San Joaquin
CA3200172,ASSOCIATIONS OF THOMPSON LAKE,Transient non-community system,120,4,15,7,Surface water,SW,1769 GREENHORN RD,,Plumas
